source_file,program,institution,city,degree,inst_type,track,language,tuition,scholarship,url
master-all.json,EDISS — Engineering of Data-intensive Intelligent Software Systems (Erasmus Mundus Joint Master),"Consortium: Åbo Akademi University (coordinator, Finland), Mälardalen University (Sweden), University of the …",,Master's degree,Consortium (public universities),Computing/Software (CS-leverage),English,EUR 5k-15k/yr,Erasmus Mundus Joint Masters Scholarship (plus EDISS scholarships and tuition-fee-waiver scholarships),https://www.master-ediss.eu/ (scholarships: https://www.master-ediss.eu/scholarship/; admission: https://www.master-ediss.eu/admission-requirements/)
master-all.json,"MULTICOM — Data Science of Human Multimodal Communication (Erasmus Mundus Joint Master, 120 ECTS)","Consortium: University of Murcia (coordinator), Lund University, Friedrich-Alexander-Universität Erlangen-Nür…",,Master's degree,Consortium (public universities),Sound/Music-Tech (data science of speech/audio/gesture — CS + media),English,EUR 5k-15k/yr,Erasmus Mundus Joint Masters Scholarship (plus targeted NDICI/IPA regional scholarships),https://multicom-em.eu/ (costs: https://multicom-em.eu/costs-and-financial-aid/; FAQ: https://multicom-em.eu/faq/)
master-all.json,"Master of Science in Acoustics, Audio and Vibrations (Máster Universitario en Acústica, Audio y Vibraciones)",La Salle Campus Barcelona — Universitat Ramon Llull (URL),Barcelona,Not a degree,Private university — Universitat Ramon Llull is an established private Spanish university; La Salle is its engineering and technology campus.,Music business,English — verified as taught entirely in English ('impartidos íntegramente en inglés').,EUR 5k-15k/yr,Partial,https://www.salleurl.edu/en/education/master-science-acoustics-audio-and-vibrations
master-all.json,"Máster Universitario en Acústica, Audio y Vibraciones (Master of Science in Acoustics, Audio and Vibrations)",La Salle Campus Barcelona — Universitat Ramon Llull (URL). Legal entity: Fundació Privada Universitat i Tecnologia (FUNITEC).,Barcelona,Master's degree,Private university — Universitat Ramon Llull is a private but fully official Spanish university,Acoustics / audio engineering,"ENGLISH — now VERIFIED, resolving the previous uncertainty. The programme is taught entirely in English. (One aggregator, Lectiva, implies Spanish; La Salle's own page and its launch announcement both confirm English. The official source is authoritative.) This is a major advantage for him: no Spanish requirement, unlike every other programme in this batch.",EUR 5k-15k/yr,La Salle Masters Scholarship Programme,https://www.salleurl.edu/en/education/master-science-acoustics-audio-and-vibrations
master-all.json,"WAVES - Erasmus Mundus Joint Master in Waves, Acoustics, Vibrations, Engineering and Sound (semester at UPV Gandia; consortium with Coimbra, Aix-Marseille and Centrale Mediterranee)",Universitat Politecnica de Valencia (Spanish partner) - WAVES consortium,,Master's degree,Consortium,Acoustics/Audio-Eng,English,EUR 5k-15k/yr,Erasmus Mundus Joint Master (EMJM) scholarship,https://www.master-waves.eu/ (UPV page: https://www.upv.es/estudios/master/muemwaves/en/home/)
master-all.json,Master in Sound and Music Computing,"Universitat Pompeu Fabra (Music Technology Group), Barcelona",,Master's degree,Public,Sound/Music-Tech,English,EUR 5k-15k/yr,Not stated,https://www.upf.edu/web/smc
master-all.json,Master in Sound and Music Computing (SMC),"Universitat Pompeu Fabra (UPF) — Music Technology Group, Department of Engineering",Barcelona,MSc / Master (official university master),Public university,Sound/Music-Tech,English,EUR 5k-15k/yr,None verified. Spanish public universities and UPF do run some international master's grants — UNVERIFIED for this programme.,https://www.upf.edu/web/smc ; https://www.upf.edu/web/smc/faq ; https://www.upf.edu/web/smc/overview ; https://estudis.aqu.cat/euc/en/Titulacions/Fitxa?titulacioId=11134
master-all.json,Master in Sound and Music Computing (SMC),"Universitat Pompeu Fabra (UPF), Department of Engineering / Music Technology Group",Barcelona,Master's degree,Public,Acoustics / audio engineering,English — the whole programme is taught in English (confirmed by the Generalitat listing title),EUR 5k-15k/yr,Becas MEC (Spanish Ministry general grant — normally requires long-term residence); UPF/Catalan Equity grants; La Caixa…,https://www.upf.edu/web/smc/overview
master-all.json,Màster Universitari en Tecnologies del So i de la Música / MSc in Sound and Music Computing (SMC),"Universitat Pompeu Fabra (UPF), Music Technology Group",Barcelona,Official Máster Universitario (MSc),Public university,Acoustics / audio engineering,English,EUR 5k-15k/yr,None found specific to non-EU/Tunisian applicants on the pages read.,https://universitats.gencat.cat/en/detalls/oferta/3517-M.Sc.-in-Sound-and-Music-Computing-taught-in-English
master-all.json,Master of Music in Contemporary Performance (Production Concentration),Berklee College of Music – Valencia Campus,Valencia,Master of Music (MM),International chain campus – US private conservatory in Spain,Music business,English,Over EUR 15k/yr,"Berklee General Scholarship (all master's applicants); Berklee Valencia Diversity Scholarship (up to 50% of tuition); and uniquely the ""Berklee Groove Scholarship"" — ""Eligibility: MM in Contemporary Performance (Production Concentration) for applicants whose principal instruments are drums, bass, general rhythm section, traditional/folk/non-traditional. Award Amount: up to 90 percent of tuition fees.""",https://valencia.berklee.edu/graduate-programs/cppd/contemporary-performance-production-concentration ; accreditation: https://www.berklee.edu/institutional-research-assessment/valencia-spain-campus-accreditation ; costs: https://valencia.berklee.edu/tuition-fees-payment/tuition-and-related-costs-for-graduate-programs ; how to apply: https://valencia.berklee.edu/graduate-admissions/how-to-apply ; entrance requirements: https://valencia.berklee.edu/graduate-admissions/entrance-requirements
master-all.json,"Master of Music in Scoring for Film, Television, and Video Games",Berklee College of Music – Valencia Campus,Valencia,Master's degree,International chain campus – US private conservatory in Spain,Music & sound technology,English,Over EUR 15k/yr,Partial,https://valencia.berklee.edu/graduate-programs/sftv/scoring-for-film-television-and-video-games ; accreditation: https://www.berklee.edu/institutional-research-assessment/valencia-spain-campus-accreditation ; costs: https://valencia.berklee.edu/tuition-fees-payment/tuition-and-related-costs-for-graduate-programs ; how to apply: https://valencia.berklee.edu/graduate-admissions/how-to-apply ; entrance requirements: https://valencia.berklee.edu/graduate-admissions/entrance-requirements
master-all.json,"Master of Music in Music Production, Technology, and Innovation (MPTI)","Berklee College of Music – Valencia Campus (private, US institution operating a Spanish campus)",Valencia,Master of Music (MM) — a US Berklee College of Music degree delivered at the Valencia campus,International chain campus – US private conservatory operating a Spanish campus,Sound-Design/Production,English,Over EUR 15k/yr,"CONFIRMED on valencia.berklee.edu/scholarships-financial-aid/scholarships-for-graduate-programs. No nationality restriction is stated on any of these, so a Tunisian is eligible: (1) Berklee General Scholarship — eligibility ""All master's degree applicants"", ""Amount varies, multiple awards"", automatic via the scholarship application. (2) Berklee Valencia Diversity Scholarship — ""Up to 50 percent of the tuition"", up to four awardees per academic year, requires a separate submission (video max 3 minutes OR 500-word essay) to scholarshipsvalencia@berklee.edu. (3) Berklee Outstanding Women Scholarship with Mentorship (MPTI-specific) — ""up to 70 percent of tuition fees, plus mentorship sessions"", one recipient, but restricted to women. Not applicable to a male applicant. Also exist but NOT applicable to him: Berklee Alumni Scholarship (USD 18,000, alumni only), Global Partners Scholarship (USD 18,000, partner-school students only), CACSA–Palau de les Arts (Valencian students only). Total of all Berklee awards cannot exceed 90 percent of tuition. Scholarship deadlines: 15 November (early), 1 February (regular).",https://valencia.berklee.edu/graduate-programs/mpti/music-production-technology-and-innovation ; costs: https://valencia.berklee.edu/tuition-fees-payment/tuition-and-related-costs-for-graduate-programs ; accreditation: https://www.berklee.edu/institutional-research-assessment/valencia-spain-campus-accreditation ; scholarships: https://valencia.berklee.edu/scholarships-financial-aid/scholarships-for-graduate-programs ; deadlines: https://valencia.berklee.edu/graduate-admissions/application-deadlines ; how to apply: https://valencia.berklee.edu/graduate-admissions/how-to-apply ; entrance requirements: https://valencia.berklee.edu/graduate-admissions/entrance-requirements ; eligibility: https://college.berklee.edu/admissions/graduate/eligibility-requirements
master-all.json,"MM in Music Production, Technology, and Innovation (MPTI)",Berklee College of Music — Valencia Campus,,Master's degree,Private (conservatory),Sound-Design/Production,English (Berklee Valencia graduate programs taught in English; not restated on program page),Over EUR 15k/yr,Berklee Valencia graduate scholarships: over USD 1.5M merit- and need-based pool; MPTI-specific award up to 70% of tuit…,https://valencia.berklee.edu/graduate-programs/mpti/music-production-technology-and-innovation
master-all.json,"WAVES — Waves, Acoustics, Vibrations, Engineering and Sound (Erasmus Mundus Joint Master)","Consortium: University of Coimbra, Universitat Politècnica de València (Gandia), Aix-Marseille Université & C…",,Master's degree,Consortium (public universities),Acoustics/Audio-Eng,English (confirmed: 'fully taught in English'),Not published,Erasmus Mundus Joint Masters Scholarship — no new cohort being recruited,https://master-waves.eu/
master-all.json,"WAVES - Erasmus Mundus Joint Master in Waves, Acoustics, Vibrations, Engineering and Sound",University of Coimbra + Universitat Politecnica de Valencia + Aix-Marseille University + Centrale Mediterrane…,,Master's degree,Consortium,Acoustics/Audio-Eng,English (verified: 'fully taught in English'),Not published,Erasmus Mundus scholarship (historically),https://master-waves.eu/
master-all.json,"Ibiza short courses: 1-Week and 2-Week DJ/Producer (Levels 1 and 2), Intensive DJ/Producer, standalone DJ Skills","Point Blank Music School – Ibiza campus (UK chain: London, Ibiza, Los Angeles, Mumbai, online)",Ibiza (San José / Sant Josep),Not a degree,"International chain campus – private music school (UK-headquartered, Ibiza satellite)",Music business,"English, taught with no formal language test.",Not published,Not stated,https://www.pointblankmusicschool.com/locations/ibiza/ ; https://www.pointblankmusicschool.com/courses/ibiza/2-week-dj-producer-level-1/ (both return HTTP 403 to automated fetch — open manually in a browser) ; corroboration: https://www.ibiza-spotlight.com/magazine/2026/05/pointblank-learn-dj-heart-global-dance-music-summer
master-all.json,Master en Industria Musical 360 (UDIMA-validated),SAE Institute Spain (Madrid & Barcelona campuses) / UDIMA,,Master's degree,Private,Music-Business,Spanish + high level of English required,Not published,Not stated,https://www.sae.edu/esp/courses/master-en-industria-musical/
master-all.json,"Máster Universitario Erasmus Mundus en Ondas, Acústica, Vibraciones, Ingeniería y Sonido (WAVES)","Universitat Politècnica de València (UPV) — Erasmus Mundus consortium with Universidade de Coimbra, Aix-Marseille Université and École Centrale Marseille","Valencia (with Coimbra, Marseille)",Master's degree,"Public university consortium (Spain, Portugal, France)",Acoustics / audio engineering,"ENGLISH — 'fully taught in English'. No Spanish, Portuguese or French required for teaching. THIS IS THE STRONGEST LANGUAGE FIT IN THE WHOLE SOUTHERN TERRITORY.",Not published,"Erasmus Mundus Joint Master Degree scholarship (EU); plus Spanish Government, Generalitat Valenciana and UPV scholarshi…",https://www.upv.es/estudios/master/muemwaves/en/home/ ; https://www.upv.es/estudios/posgrado/masteres-erasmusmundus-en.html
master-all.json,Master in Sound and Music Computing (M.Sc.),"Universitat Pompeu Fabra — Music Technology Group, Department of Information and Communication Technologies",Barcelona,Master's degree,Public university,Acoustics / audio engineering,English,Not published,Not stated,https://www.upf.edu/web/smc/faq
master-all.json,Màster propi en Composició Musical amb Tecnologies (Master in Composition with Technologies),ESMUC — Escola Superior de Música de Catalunya,Barcelona,"Máster propio (institution's own master's title), 60 ECTS",Public conservatory / higher music school,Acoustics / audio engineering,English,Under EUR 1.5k/yr,None found,https://www.esmuc.cat/en/master-propi-de-composicio-amb-tecnologies/
master-all.json,Màster propi de Composició amb Tecnologies (Master in Composition with Technologies),ESMUC — Escola Superior de Música de Catalunya,Barcelona,Not a degree,Public higher music-education centre (Generalitat de Catalunya),Acoustics / audio engineering,English,Under EUR 1.5k/yr,Not stated,https://www.esmuc.cat/en/masters-i-postgraus/master-propi-de-composicio-amb-tecnologies/
master-all.json,Master's Degree in Composition with Technologies (Màster propi de Composició amb Tecnologies),Escola Superior de Música de Catalunya (ESMUC),Barcelona,Master propio (ESMUC's own master's degree — NOT an official/state-validated Spanish master; this matters for later PhD access and for some visa and recognition purposes),Public higher music school (the only official centre in Catalonia awarding the Higher Title in Music); the programme itself is a school-awarded master propio,Acoustics / audio engineering,ENGLISH,Under EUR 1.5k/yr,None found for this master propio — UNVERIFIED. Note that master propio programmes are commonly excluded from Spanish state and regional scholarship schemes; verify before assuming any aid is available.,https://www.esmuc.cat/en/master-propi-de-composicio-amb-tecnologies/
master-all.json,Master Universitario en Ingenieria Acustica (MUIA),"Universitat Politecnica de Valencia (UPV), Gandia campus",,Master's degree,Public,Acoustics/Audio-Eng,Spanish and Valencian,Under EUR 1.5k/yr,None,https://www.upv.es/titulaciones/MUIA/
master-all.json,Master Universitario en Postproduccion Digital,Universitat Politecnica de Valencia - Campus de Gandia,,Master's degree,Public (official master universitario),Sound-Design/Production,Spanish and Valencian (confirmed); Spanish B2 required for admission - a hurdle for this candidate (Spanish not among stated languages),Under EUR 1.5k/yr,None,https://www.upv.es/estudios/master/mupd/detalle/
master-all.json,Master Universitario en Ingenieria Acustica (MUIA),Universitat Politecnica de Valencia - Campus de Gandia,,Master's degree,Public,Acoustics/Audio-Eng,Spanish,Under EUR 1.5k/yr,None,https://www.upv.es/estudios/master/muia/en/home/
master-all.json,Màster Universitari en Música com a Art Interdisciplinari / University Master's Degree in Music as an Interdisciplinary Art,Universitat de Barcelona (UB) with Universitat Rovira i Virgili (URV) and Escola Superior de Música de Catalunya (ESMUC),Barcelona,Master's degree,Joint official university master run by two public universities plus the public Catalan music conservatoire; CSIC's Institució Milà i Fontanals collaborates,Sound design / production,"Catalan AND Spanish — CONFIRMED on the official page as 'Catalan, Spanish'. Catalan is a normal medium of instruction, not a courtesy. There is no English route. He speaks neither, and Catalan in particular is not something French fluency shortcuts.",Under EUR 1.5k/yr,None,https://www.esmuc.cat/en/master-universitari-de-musica-com-a-art-interdisciplinari/
master-all.json,Màster Universitari de Música com a Art Interdisciplinari / University Master's Degree in Music as an Interdisciplinary Art,Universitat de Barcelona + Universitat Rovira i Virgili + ESMUC + CSIC (joint),Barcelona,Master's degree,Public,Other / adjacent,CATALAN AND SPANISH. No English track. This is a real barrier — Catalan is used alongside Spanish.,Under EUR 1.5k/yr,Not stated,https://www.esmuc.cat/en/master-universitari-de-musica-com-a-art-interdisciplinari/
master-all.json,"Curso de Producción Musical (9 months) — NOT A MASTER, short course",Escuela Microfusa,Barcelona (also Madrid and online),Not a degree,Specialist audio and DJ academy,Music business,Spanish,EUR 1.5k-5k/yr,Not stated,https://escuela.microfusa.com/barcelona-curso-de-produccion-musical.html
master-all.json,"Curso de Producción Musical (9 months) — NOT A MASTER, short course","Escuela Microfusa (Microfusa Formació, S.L.)",Barcelona (also Madrid),Not a degree,"Specialist audio, music production and DJ academy",Music business,Spanish.,EUR 1.5k-5k/yr,Not stated,https://microfusa.com/products/curso-produccion-musical
master-all.json,"COVERAGE CHECK — the only master is Creación de Teatro Musical (musical theatre, not production); no music-production or electronic-music master exists",Taller de Músics — ESEM (Escola Superior d'Estudis Musicals),Barcelona,Not a degree,"Private higher music school (Escola Superior d'Estudis Musicals), Barcelona, operating in official enseñanzas artísticas superiores",Music business,Catalan and Spanish. The school recommends an intermediate understanding of CATALAN — a real barrier for a Tunisian applicant on top of the Spanish requirement.,EUR 1.5k-5k/yr,Partial,https://tallerdemusics.com/superior/master-en-creacion-de-teatro-musical/
master-all.json,Máster de Formación Permanente en Producción Musical (semipresencial),UCAM — Universidad Católica San Antonio de Murcia,Murcia,Not a degree,"Private university (Catholic, private, Murcia) — a fully recognised Spanish private university.",Sound design / production,Spanish. HARD BLOCKER unless his Spanish is strong. No English-taught option. No Spanish level is published — UNVERIFIED — but a 60-ECTS technical master with a Spanish-language TFM realistically needs B2 or above.,EUR 1.5k-5k/yr,Not stated,https://www.ucam.edu/estudios/postgrados/master-produccion-musical
master-all.json,Master Universitario en Ingenieria Acustica,"Universidad Politecnica de Madrid (UPM), ETSIST",,Master's degree,Public,Acoustics/Audio-Eng,Spanish,EUR 1.5k-5k/yr,None,https://blogs.upm.es/masteracustica/
master-all.json,Máster en Enseñanzas Artísticas en Composición Electroacústica y con Nuevos Medios (MCE),Centro Superior de Enseñanza Musical Katarina Gurska (CSKG),Madrid,Master's degree,"Private (centro autorizado, attached to the Comunidad de Madrid)",Acoustics / audio engineering,Spanish,EUR 5k-15k/yr,Not stated,https://katarinagurska.com/en/curso-of/master-de-composicion-para-electroacustica-mce/
master-all.json,Máster en Producción Musical Profesional,DJP Music School (in collaboration with UDIMA — Universidad a Distancia de Madrid),Madrid,Not a degree,Specialist audio/DJ academy — independent private school partnered with a private university,Music business,Spanish,EUR 5k-15k/yr,Partial,https://djpmusicschool.com/titulaciones/master-produccion-musical/
master-all.json,Máster en Producción Musical Profesional,DJP Music School (título propio issued by UDIMA — Universidad a Distancia de Madrid),Madrid,Not a degree,Specialist DJ/electronic-music academy — independent private school issuing a partner university's título propio,Music business,Spanish,EUR 5k-15k/yr,Partial,https://djpmusicschool.com/titulaciones/master-produccion-musical/
master-all.json,Máster de formación permanente en Música y Sonido para Experiencias del Entretenimiento,ENTI-UB — Escola de Noves Tecnologies Interactives (centro adscrito a la Universitat de Barcelona),Barcelona,Not a degree,"Private school operating as an attached centre (centro adscrito) of the Universitat de Barcelona. Legal operator: U.COLLEGE OF NEW TECHNOLOGIES, S.L.",Music business,Spanish — '100% español' per the UB masters portal. This is the hard gate: there is no English track.,EUR 5k-15k/yr,Not stated,https://enti.cat/es/area-de-musica/master-en-musica/
master-all.json,The Sound School — Máster Propio en Sonido (Máster Superior de Especialidad: Sonido),"ESCAC — Escola Superior de Cinema i Audiovisuals de Catalunya (Fundació Privada ESCAC), attached to Universitat de Barcelona",Terrassa (Barcelona metropolitan area),Not a degree,Private foundation film school (Fundació Privada ESCAC) operating as a centre attached to the Universitat de Barcelona,Sound design / production,"Castellano (Spanish) only. No English-taught route, which rules it out unless his Spanish is strong.",EUR 5k-15k/yr,Not stated,https://escac.com/formacion/curso/sound-school/
master-all.json,"Diploma de Producción Musical (2 years) — NOT A MASTER, undergraduate level",Escuela Microfusa,Barcelona and Madrid,Not a degree,"Specialist audio and DJ academy, with UK university progression partnerships",Music business,Spanish (the Madrid page notes that English-language instruction costs extra).,EUR 5k-15k/yr,Partial,https://escuela.microfusa.com/barcelona-diploma-produccion-musical.html
master-all.json,"Diploma de Producción Musical (2 years) — NOT a master's, NOT a degree","Escuela microFusa (Microfusa Formació, S.L.), Barcelona and Madrid",Barcelona (also Madrid; online variants exist),Not a degree,"Specialist audio/DJ academy (private, independent, non-university). Also a long-standing pro-audio retailer.",Music business,Spanish only. (English IELTS 6.0 is required only if he later transfers to the UK top-up year.),EUR 5k-15k/yr,Partial,"https://microfusa.com/products/diploma-de-produccion-musical (the previously supplied escuela.microfusa.com/barcelona-diploma-produccion-musical.html now 301-redirects here; fees page: same URL, 'Precio y formas de pago' tab; UK route: https://escuela.microfusa.com/titulaciones-superiores)"
master-all.json,Máster en Producción de Música Urbana,SAE Institute Spain – Madrid and Barcelona campuses,Madrid / Barcelona,Not a degree,International chain campus – specialist audio academy (SAE / Navitas),Music business,"Spanish — CONFIRMED. International applicants must demonstrate Spanish proficiency in speaking, listening, reading and writing.",EUR 5k-15k/yr,Partial,https://www.sae.edu/esp/courses/programa-en-produccion-de-musica-urbana/ ; UDIMA título propio status: https://www.udima.es/titulos-propios ; RD 822/2021 art. 37.6 ECTS thresholds: https://www.boe.es/buscar/act.php?id=BOE-A-2021-15781 ; price benchmark: https://www.emagister.com/sae-institute-cursos-9753-centrodetalles.htm
master-all.json,"Máster en Producción de Audio (60 ECTS, 24 months) — with sister titles Máster en Producción de Música Electrónica (25 ECTS, 8 months), Máster en Producción Musical, Máster en Producción de Música Urbana and Máster en Industria Musical","SAE Institute Spain — Madrid and Barcelona campuses (SAE Creative Media Institute, Navitas group); academic title issued by UDIMA (Universidad a Distancia de Madrid, private)",Madrid and Barcelona,Not a degree,"Specialist audio academy (international chain, campuses worldwide) partnered with a private distance university for the academic title",Music business,"Spanish — VERIFIED and binding. SAE requires international applicants to demonstrate the ability to 'hablar, escuchar, leer y escribir en castellano'. There is no English delivery.",EUR 5k-15k/yr,Partial,https://www.sae.edu/esp/courses/produccion-de-audio/
master-all.json,Máster en Producción Musical,TAI — Escuela Universitaria de Artes y Espectáculos,Madrid,Not a degree,"Private arts school with escuela universitaria status, running both official and own-brand awards side by side",Music business,Spanish,EUR 5k-15k/yr,Not stated,https://taiarts.com/estudios/master-produccion-musical/
master-all.json,Máster en Gestión de la Música en Directo (Live Music Management),UAX — Universidad Alfonso X el Sabio,Madrid (Campus Chamberí),Not a degree,"Private university (Madrid), recognised Spanish university.",Music business,Spanish. Confirmed — the programme is served from the Spanish site with Spanish faculty and Spanish industry partners; no English-taught route for this title.,EUR 5k-15k/yr,Partial,https://www.uax.com/titulaciones/master-gestion-musica-directo
master-all.json,"Máster Profesional en Producción Musical (título propio, delivered in person by DJP Music School)",UDIMA — Universidad a Distancia de Madrid,Madrid,Not a degree,"Private online university that badges private specialist schools' programmes (DJP Music School, SAE Institute Spain) with its own título propio",Music business,"Spanish. In-person delivery at DJP's Madrid premises, Monday to Thursday 19:00–21:30.",EUR 5k-15k/yr,Not stated,https://www.udima.es/master-profesional-produccion-musical
master-all.json,Postgrado en Producción Musical y Artística (with The Music Station),Universidad Francisco de Vitoria (UFV),Madrid (Pozuelo de Alarcón),Not a degree,"Private university (Catholic, private, Madrid).",Music business,Spanish (castellano). No English option. HARD BLOCKER unless his Spanish is strong.,EUR 5k-15k/yr,Not stated,https://www.ufv.es/postgrado-produccion-musical-artistica/
master-all.json,Postgrado en Producción Musical y Artística (with Warner Music Spain) — NOT A MASTER,Universidad Francisco de Vitoria (UFV) in collaboration with Warner Music Spain,Madrid,Not a degree,Private university postgraduate school with a major-label industry partner,Sound design / production,Spanish (castellano),EUR 5k-15k/yr,Not stated,https://www.ufv.es/postgrado-produccion-musical-artistica/
master-all.json,"Máster de Formación Permanente en Radio, Podcast y Audio Digital",Universidad Nebrija,Madrid,Not a degree,"Private university (Madrid), officially recognised Spanish private university.",Sound design / production,Spanish. CONFIRMED. No English track.,EUR 5k-15k/yr,Partial,https://www.nebrija.com/programas-postgrado/master/radio/
master-all.json,Master en Industria Musical (IL3),Universitat de Barcelona - IL3 Institute of Lifelong Learning,,Master's degree,Public (titulo propio via IL3),Music-Business,Spanish,EUR 5k-15k/yr,None,https://www.il3.ub.edu/master-industria-musical
master-all.json,Master en Industria Musical (IL3-UB),Universitat de Barcelona - Instituto de Formacion Continua IL3,,Master's degree,Public (titulo propio via UB's continuing-education arm),Music-Business,Spanish,EUR 5k-15k/yr,None,https://www.il3.ub.edu/master-industria-musical
master-all.json,Master of Arts in Global Entertainment and Music Business (GEMB),Berklee College of Music - Valencia Campus,,Master's degree,Private,Music-Business,English (confirmed: 'All classes are taught in English'),Over EUR 15k/yr,"Berklee General Scholarship (auto); Outstanding Women Scholarships w/ Mentorship (up to 70%, one per program incl. GEMB…",https://valencia.berklee.edu/graduate-programs/gemb/global-entertainment-and-music-business
master-all.json,"Remaining national schemes - EXPLICIT NON-FINDINGS (Latvia, Lithuania, Croatia, Serbia, Bulgaria, Portugal/Camoes, Spai…",,,Funding scheme,Not stated,Other / adjacent,Not stated,Not published,"Remaining national schemes - EXPLICIT NON-FINDINGS (Latvia, Lithuania, Croatia, Serbia, Bulgaria, Portugal/Camoes, Spai…",https://www.viaa.gov.lv/en/latvian-state-scholarships
master-all.json,Berklee General Scholarship (graduate),,,Funding scheme,Not stated,Other / adjacent,Not stated,Not published,Berklee General Scholarship (graduate),https://valencia.berklee.edu/scholarships-financial-aid/scholarships-for-graduate-programs
