program,university,country,publicPrivate,track,language,tuitionIntl,scholarshipName,fundingLevel,stipendCoverage,tunisianEligible,portfolioReq,entryRequirements,applicationOpens,deadline,sourceUrl,fitNotes,verified,verificationNotes
Media Arts Cultures (MediaAC) — Erasmus Mundus Joint Master Degree,"University for Continuing Education Krems (coordinator), Aalborg University, University of Lodz, LASALLE College of the Arts","Austria, Denmark, Poland, Singapore",Consortium,Sound/Music-Tech,English,UNVERIFIED,Erasmus Mundus Joint Master (EMJM) scholarship,Full,"Participation fees covered + EUR 1,000/month stipend; Partner Country grantees also get EUR 5,000-7,000 travel by distance (amounts per prior cycle; confirm for new edition)",Y,Y,"Bachelor (min 180 ECTS); English B2+ (TOEFL iBT 80 / IELTS 6.5 / Cambridge C1 / Versant 56-60, <2 yrs old); submit an example of relevant work + essay on state-of-the-art/future of media arts.",Rules/dates for 2026-2028 intake to be published Feb 2026 (per official site),PRIOR CYCLE - confirm new date (2026-2028 dates not yet published as of check),https://www.mediaartscultures.eu/mediaac/application/,"Moderate fit: media-art theory, curatorial and preservation focus (culture-centered) rather than hands-on music production; strengthens network/critical framing but weaker on DJ/producer craft.",Unverified,verification agent returned nothing
IMLEX — Erasmus Mundus Joint Master in Imaging and Light in Extended Reality,University of Eastern Finland / KU Leuven / Université Jean Monnet / Toyohashi Univ. of Technology (consortium),"Finland, Belgium, France, Japan",Consortium,Sound/Music-Tech,English,UNVERIFIED,Erasmus Mundus Joint Master (EMJM) scholarship,Full,"EMJM scholarship (participation, travel, living); exact amount UNVERIFIED",Y,N,"Bachelor in a relevant STEM field (imaging, optics, computer/electrical engineering, physics); English test required; strong technical/CS background expected. UNVERIFIED specifics.",UNVERIFIED,PRIOR CYCLE - confirm new date,https://www.imlex.org/,"Low music fit: imaging/light/XR, not audio; included only as a CS-heavy creative-tech option (includes a Japan mobility). Verify all fields on imlex.org before relying on this entry.",Unverified,verification agent returned nothing
RE:Anima — Erasmus Mundus Joint Master in Animation,LUCA School of Arts / Aalto University / Universidade Lusófona (FilmEU alliance consortium),"Belgium, Finland, Portugal",Consortium,Sound-Design/Production,English,UNVERIFIED,Erasmus Mundus Joint Master (EMJM) scholarship,Full,"EMJM scholarship (participation waived + monthly allowance ~EUR 1,400 + travel); amount UNVERIFIED on official page",Y,Y,Bachelor in a relevant field; portfolio/showreel required; English proficiency required. UNVERIFIED exact test levels and prerequisites.,UNVERIFIED,PRIOR CYCLE - confirm new date,https://www.filmeu.eu/education/erasmus-mundus-masters,Low fit for a DJ/producer: animation filmmaking (includes sound design components) — only relevant if pivoting toward audiovisual/sound-for-picture. Confirm details on the FilmEU/RE:Anima official site.,Unverified,verification agent returned nothing
FilmMemory — Erasmus Mundus Joint Master in Film Heritage and Audiovisual Preservation,FilmEU alliance consortium (coordinator UNVERIFIED; IADT among partners),Four European countries (UNVERIFIED exact list),Consortium,Sound/Music-Tech,English,UNVERIFIED,Erasmus Mundus Joint Master (EMJM) scholarship,Full,EMJM scholarship (participation waived + monthly allowance + travel); amount UNVERIFIED,Y,Check,Bachelor in a relevant field; English proficiency; details UNVERIFIED on official page.,Prior cycle open for 2026-2027,20 Jan 2026 (2026-2027 intake) — PRIOR CYCLE - confirm new date,https://filmmemory.eu/application/call-for-applicants,"Low fit: audiovisual heritage preservation/restoration, not production or music; included as an in-slice creative/media EMJM for completeness. Verify on filmmemory.eu.",Unverified,verification agent returned nothing
Erasmus Mundus Joint Master (EMJM) in Sound — ReSound (Sound Design for Media Arts),"Consortium: IADT Dún Laoghaire (coordinator), Universidade Lusófona, Lithuanian Academy of Music and Theatre (LMTA)",Ireland / Portugal / Lithuania,Consortium,Sound-Design/Production,English,"EUR 15,000 total for 2 years (self-funded; EUR 7,500 x2) — waived for scholarship holders",Erasmus Mundus Joint Masters Scholarship,Full,"Participation costs/tuition waived + EUR 1,400/month (living + travel). Up to 24 places/year, awarded on merit.",Y,Y,"Bachelor's in sound, music, film, media studies OR computational/related field (other fields with relevant experience considered). English: IELTS 6.0 (all bands >=6.0) / TOEFL iBT 79 / Duolingo 110 / Cambridge B2. Interview.",20 Oct 2025 for the prior (2026) cycle; 2027 cycle UNVERIFIED,"27 Jan 2026 for the 2026 intake — PRIOR CYCLE - confirm new date (Sept 2027 intake expected to open ~Oct 2026, close ~Jan 2027)",https://resound-ma.eu/ (also https://iadt.ie/courses/erasmus-mundus-joint-ma-resound/),"STRONGEST fit for the DJ/producer goal — sound design, production, composition; explicitly welcomes computational-science backgrounds; fully funded. Mobility: Dublin -> Lisbon -> Vilnius -> thesis.",Unverified,verification agent returned nothing
"DIGICREA — Digital Creativity, Art & Science (Erasmus Mundus Joint Master)","Consortium: Université Jean Monnet Saint-Étienne (coordinator), University of Silesia in Katowice, Universidade Católica Portuguesa (Porto)",France / Poland / Portugal,Consortium (public universities),"Sound-Design/Production (audio-visual new media, music, AI, XR)",English,UNVERIFIED (participation cost applies to non-scholarship holders; figure not on official page read),Erasmus Mundus Joint Masters Scholarship,Full,"~EUR 1,400/month for 24 months + travel/installation allowance for non-EU residents; participation costs waived for scholarship holders",Y,Y,Bachelor's (min 180 ECTS); English B2 minimum (C1 recommended); artistic portfolio of 3-5 works (max 5 years old) in specialisation,14 Nov 2025 for prior cohort; 2027 cohort ~Nov 2026 (expected),16 Feb 2026 for 2026-2028 cohort (closed) — PRIOR CYCLE - confirm new date; 2027-2029 cohort expected to open ~Nov 2026,http://master-digicrea.univ-st-etienne.fr/en/index.html,"Strong fit — trains creators at art/tech/science intersection incl. music, audio-visual, AI, XR; CS/software background is a real asset. Study starts in France, then Poland/Portugal.",Unverified,verification agent returned nothing
Media Arts Cultures (MediaAC) — Erasmus Mundus Joint Master of Arts (120 ECTS),"Consortium: University for Continuing Education Krems (coordinator), Aalborg University, University of Łódź, LASALLE College of the Arts",Austria / Denmark / Poland / Singapore,Consortium,"Media-Arts/Creative (Business track-2, curatorial/creative industries)",English,UNVERIFIED (waived for scholarship holders),Erasmus Mundus Joint Masters Scholarship,Full,"Programme-country grantees: all participation fees paid + EUR 1,000/month for 24 months + EUR 1,000/yr travel. Partner-country (Tunisia) students: additional EUR 5,000 travel + installation allowance. (Rates reflect prior cycle; confirm.)",Y,Check (creative/curatorial materials may be requested; not confirmed on official page),At least a first (bachelor's) degree; requirements/chances identical for all nationalities. English proficiency required.,UNVERIFIED (announced ~Feb each cycle),Rules and dates for 2026-2028 intake to be published Feb 2026 per official site — PRIOR CYCLE - confirm new date for Sept 2027,https://www.mediaartscultures.eu/mediaac/ (scholarships: https://www.mediaartscultures.eu/mediaac/scholarships/erasmus-scholarships/),Media-arts theory/curatorial + creative-and-cultural-sector careers; useful for industry/creative-industries network rather than hands-on production. Weaker on production skills than ReSound/DIGICREA.,Unverified,verification agent returned nothing
IMLEX — Imaging and Light in Extended Reality (Erasmus Mundus Joint Master of Science),"Consortium: University of Eastern Finland (coordinator), Université Jean Monnet (France), KU Leuven (Belgium), Toyohashi University of Technology (Japan)",Finland / France / Belgium / Japan,Consortium (public universities),"Computing/Media-Tech (XR, imaging — CS-leverage)",English,UNVERIFIED,Erasmus Mundus Joint Masters Scholarship,Full,"EMJM scholarship (participation waived + monthly living contribution ~EUR 1,400 + travel/installation) — exact amount UNVERIFIED on page read",Y,N,"Bachelor's (>=180 ECTS) in IT, Computer Science, Physics, Mathematics, Electronic Engineering, Photonics or related; TOEFL iBT 92 / IELTS Academic 6.5 / PTE 62 (exemptions for English-medium degrees)",15 Dec 2025 for prior cycle; 2027 ~Dec 2026 (expected),21 Jan 2026 (3pm EET) for 2026 intake — PRIOR CYCLE - confirm new date (2027 intake opens ~Dec 2026),https://www.imlex.org/ (admission: https://www.imlex.org/how-to-apply/admission-criteria/),Computing-heavy XR/imaging — great CS leverage but tangential to audio/music (visual not sound). Include only if candidate broadens to interactive/immersive media tech. Note Japan mobility.,Unverified,verification agent returned nothing
"BDMA — Big Data Management and Analytics (Erasmus Mundus Joint Master, 120 ECTS)","Consortium: Université Libre de Bruxelles (coordinator), Universitat Politècnica de Catalunya, TU Eindhoven, CentraleSupélec, Università di Padova",Belgium / Spain / Netherlands / France / Italy,Consortium (public universities),Computing/Data-AI (CS-leverage),English,"EUR 4,500/yr (Programme-country self-funded; TU/e specialisation may differ) — waived for scholarship holders",Erasmus Mundus Joint Masters Scholarship,Full,"Partner-country (Tunisia): participation waived + EUR 1,000/month x24 + EUR 1,000 installation + EUR 2,000-3,000/yr travel (by distance). NOTE: EUR 1,000/month is a prior-cycle rate; newer EMJM cycles pay ~EUR 1,400 — confirm.",Y,N,Bachelor's (>=180 ECTS) in Computer Science or closely related; English min B2 CEFR (IELTS/TOEFL),UNVERIFIED (typically ~Nov/Dec),PRIOR CYCLE - confirm new date (scholarship-track deadline typically ~Jan; self-funded ~May),https://bdma.ulb.ac.be/ (fees/scholarships: https://bdma.ulb.ac.be/home/students/tuition-fees-scholarships/),Directly leverages software-engineering degree; data/BI/analytics. Not music-specific — value is a fully-funded elite CS credential + EU network the candidate could pivot into music-tech/streaming analytics.,Unverified,verification agent returned nothing
EDISS — Engineering of Data-intensive Intelligent Software Systems (Erasmus Mundus Joint Master),"Consortium: Åbo Akademi University (coordinator, Finland), Mälardalen University (Sweden), University of the Balearic Islands (Spain), University of L'Aquila (Italy)",Finland / Sweden / Spain / Italy,Consortium (public universities),Computing/Software (CS-leverage),English,Waived for scholarship holders (self-funded participation cost UNVERIFIED),Erasmus Mundus Joint Masters Scholarship,Full,"Participation costs waived + EUR 1,400/month subsistence + health insurance coverage",Y,N,"Bachelor's (>=180 ECTS) in Computer Science, Software Engineering or closely related; strong English proficiency",3 Nov 2025 for prior intake; next ~Nov 2026 (expected),"8 Jan 2026 (3pm Helsinki) for 6th intake (Sept 2026-2028), closed — PRIOR CYCLE - confirm new date (7th intake ~Nov 2026-Jan 2027)",https://www.master-ediss.eu/ (scholarships: https://www.master-ediss.eu/scholarship/),"Pure software-engineering fit (ML + data + distributed systems); fully funded. Not audio/music — include only as a strong CS fallback/credential, not toward the DJ/producer goal.",Unverified,verification agent returned nothing
"MULTICOM — Data Science of Human Multimodal Communication (Erasmus Mundus Joint Master, 120 ECTS)","Consortium: University of Murcia (coordinator), Lund University, Friedrich-Alexander-Universität Erlangen-Nürnberg",Spain / Sweden / Germany,Consortium (public universities),Sound/Music-Tech (data science of speech/audio/gesture — CS + media),English,UNVERIFIED,Erasmus Mundus Joint Masters Scholarship,Full,"EMJM scholarship (participation waived + monthly living + travel/installation) — exact amount UNVERIFIED; standard EMJM ~EUR 1,400/month",Y (open to Bachelor holders of any nationality — confirm),N,"Bachelor's or equivalent; strong background in language, communication, cognitive science or a relevant field (CS/data acceptable given data-science focus). English (level UNVERIFIED).",Fall 2025 for first edition; 2027 UNVERIFIED,Applications for first edition open fall 2025 to ~March 2026 (first cohort starts 1 Sept 2026) — PRIOR/first CYCLE - confirm 2027 dates,https://multicom-em.eu/ (also https://multicom.um.es/),Bridges humanities + tech: analysing speech/audio/gesture with data science. Software background is an asset; adjacent to audio/media. Newer programme — verify eligibility breadth for a pure-CS applicant.,Unverified,verification agent returned nothing
DCLead — Digital Communication Leadership (Erasmus Mundus Joint Master; POLINN/TECMAN/ICT4D tracks),"Consortium: Paris-Lodron University of Salzburg (coordinator), Vrije Universiteit Brussel, Aalborg University Copenhagen, Wageningen University & Research",Austria / Belgium / Denmark / Netherlands,Consortium (public universities),General-Business/MBA (digital media strategy & management),English,UNVERIFIED (waived for scholarship holders),Erasmus Mundus Joint Masters Scholarship,Full,"EUR 1,000/month x24 + EUR 1,000/yr travel + EUR 1,000 installation; at least 15 scholarships/year (prior-cycle rates — confirm)",Y (open internationally — confirm),N,Bachelor's; English proficiency required; track chosen by qualifications/selection (level UNVERIFIED),UNVERIFIED,PRIOR CYCLE - confirm new date (2026-2027 intake status: 'may be offered' per official site — verify the call is open for Sept 2027),https://dclead.eu/ (scholarships: https://dclead.eu/scholarships-fees/scholarships/),"Business/management angle for the music-industry goal: digital communication strategy, media policy, ICT. Good for industry/network + business-of-media knowledge; TECMAN track suits a technologist. Confirm it's funded for 2027.",Unverified,verification agent returned nothing
